image_id,x,y,orient,x1,x2,x3,x4,y1,y2,y3,y4,class,FLAG1,FLAG2,test_fold
0,580.697942,1009.223279,3.012318,554.0,605.0,607.0,558.0,1004.0,996.0,1016.0,1021.0,2,1,0,1
1,344.827471,812.368939,-0.013888,326.0,363.0,362.0,327.0,806.0,805.0,819.0,819.0,1,1,0,
1,413.217858,811.243686,-0.011363,392.0,435.0,435.0,390.0,803.0,803.0,818.0,819.0,9,1,0,
2,606.587345,846.338592,1.446441,593.0,615.0,620.0,598.0,827.0,826.0,866.0,867.0,5,1,0,1
3,877.186248,891.22203,0.013333,839.0,915.0,914.0,840.0,880.0,880.0,903.0,901.0,5,1,0,6
4,292.060697,624.495786,0.088377,272.0,312.0,311.0,272.0,615.0,620.0,632.0,630.0,1,1,0,2
4,334.754126,470.641317,1.536327,326.0,346.0,345.0,322.0,507.0,507.0,435.0,434.0,5,1,0,2
6,20.3427,732.218553,2.663762,31.0,38.0,10.0,3.0,720.0,730.0,745.0,734.0,1,1,0,1
6,10.840562,295.124714,1.951303,10.0,22.0,9.0,1.0,278.0,285.0,312.0,306.0,1,1,0,1
6,24.534819,332.760633,1.762844,22.0,34.0,30.0,12.0,314.0,316.0,353.0,349.0,1,1,0,1
6,88.441355,349.808586,0.668289,78.0,106.0,99.0,70.0,334.0,356.0,366.0,343.0,1,1,0,1
6,91.886124,178.636005,3.013269,76.0,106.0,109.0,77.0,174.0,170.0,183.0,187.0,1,1,5,1
6,127.099929,181.803384,-1.346085,121.0,141.0,135.0,111.0,163.0,166.0,201.0,198.0,5,1,0,1
6,152.811596,187.392877,1.354711,141.0,156.0,164.0,151.0,167.0,167.0,207.0,209.0,1,1,0,1
7,99.18878,962.106151,1.742424,96.0,109.0,104.0,88.0,943.0,944.0,981.0,981.0,11,1,0,8
7,123.069611,978.256771,-1.497756,115.0,134.0,132.0,111.0,957.0,959.0,1001.0,997.0,4,1,0,8
7,232.120807,988.747772,-1.365401,228.0,244.0,235.0,222.0,969.0,972.0,1010.0,1003.0,11,1,0,8
